drug_name,synonyms,convention_schedule,cas_number,notes,source_url,raw_text,fetched_at
+NC064,,Intermediate Opiate Raw Materials,,"straw rich in morphine, thebaine, codeine and oripavine.",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NC051+NC064 straw rich in morphine, thebaine, codeine and oripavine.",2026-04-24T17:19:40.499545+00:00
NC023+NC031+NC043+,,Intermediate Opiate Raw Materials,,Total anhydrous thebaine alkaloid contained in all varieties concentrate of poppy,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NX030 NC023+NC031+NC043+ Total anhydrous thebaine alkaloid contained in all varieties concentrate of poppy,2026-04-24T17:19:40.499545+00:00
+NC063,,Intermediate Opiate Raw Materials,,"straw rich in morphine, thebaine, codeine and oripavine.",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NC053+NC063 straw rich in morphine, thebaine, codeine and oripavine.",2026-04-24T17:19:40.499545+00:00
NC024+NC033+NC041+,,Intermediate Opiate Raw Materials,,Total anhydrous oripavine alkaloid contained in all varieties of concentrate of,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NX040 NC024+NC033+NC041+ Total anhydrous oripavine alkaloid contained in all varieties of concentrate of,2026-04-24T17:19:40.499545+00:00
+NC065,,Intermediate Opiate Raw Materials,,"poppy straw rich in morphine, thebaine, codeine and oripavine. The above NX codes were randomly chosen and represent calculated values only and do not constitute any drug entity or any specific anhydrous alkaloid content entity. The above substances are listed in order of their IDS codes. 5 Poppy straw rich in noscapine; noscapine, a non-narcotic alkaloid derived from the opium poppy papaver somniferum. 6 Concentrate of poppy straw rich in noscapine obtained from poppy straw (N). 8 Section 2",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NC054+NC065 poppy straw rich in morphine, thebaine, codeine and oripavine.
The above NX codes were randomly chosen and represent calculated values only and do not constitute any drug entity or any specific anhydrous
alkaloid content entity. The above substances are listed in order of their IDS codes.
5 Poppy straw rich in noscapine; noscapine, a non-narcotic alkaloid derived from the opium poppy papaver somniferum.
6 Concentrate of poppy straw rich in noscapine obtained from poppy straw (N).
8
Section 2",2026-04-24T17:19:40.499545+00:00
ACETYLDIHYDROCODEINE,,Schedule II (1961),3861-72-1,(derivative of codeine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 002 3861-72-1 ACETYLDIHYDROCODEINE (derivative of codeine),2026-04-24T17:19:40.499545+00:00
CODEINE,,Schedule II (1961),76-57-3,"3-methylmorphine (derivate of morphine, alkaloid contained in opium and poppy straw)",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NC 005 76-57-3 CODEINE 3-methylmorphine (derivate of morphine, alkaloid
contained in opium and poppy straw)",2026-04-24T17:19:40.499545+00:00
DEXTROPROPOXYPHENE,,Schedule II (1961),469-62-5,"α-(+)-4-dimethylamino-1,2-diphenyl-3-methyl-2- butanol propionate (Dextro-rotary isomer of propoxyphene)",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"ND 004 469-62-5 DEXTROPROPOXYPHENE α-(+)-4-dimethylamino-1,2-diphenyl-3-methyl-2-
butanol propionate (Dextro-rotary isomer of
propoxyphene)",2026-04-24T17:19:40.499545+00:00
DIHYDROCODEINE,,Schedule II (1961),125-28-0,(derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,ND 008 125-28-0 DIHYDROCODEINE (derivative of morphine),2026-04-24T17:19:40.499545+00:00
ETHYLMORPHINE,,Schedule II (1961),76-58-4,3-ethylmorphine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NE 005 76-58-4 ETHYLMORPHINE 3-ethylmorphine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
NICOCODINE,,Schedule II (1961),3688-66-2,6-nicotinylcodeine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NN 001 3688-66-2 NICOCODINE 6-nicotinylcodeine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
NICODICODINE,,Schedule II (1961),808-24-2,6-nicotinyldihydrocodeine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NN 002 808-24-2 NICODICODINE 6-nicotinyldihydrocodeine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
NORCODEINE,,Schedule II (1961),467-15-2,N-demethylcodeine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NN 005 467-15-2 NORCODEINE N-demethylcodeine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
PHOLCODINE,,Schedule II (1961),509-67-1,morpholinylethylmorphine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NP 011 509-67-1 PHOLCODINE morpholinylethylmorphine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
PROPIRAM,,Schedule II (1961),15686-91-6,"N-(1-methyl-2-piperidinoethyl)-N-2- pyridylpropionamide AND the isomers, unless specifically excepted, of the drugs in this Schedule whenever the existence of such isomers is possible within the specific chemical designation; the salts of the drugs listed in this Schedule, including the salts of the isomers as provided above whenever the existence of such salts is possible. Section 3",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NP 016 15686-91-6 PROPIRAM N-(1-methyl-2-piperidinoethyl)-N-2-
pyridylpropionamide
AND the isomers, unless specifically excepted, of the drugs in this Schedule whenever the existence of such isomers is possible within the
specific chemical designation; the salts of the drugs listed in this Schedule, including the salts of the isomers as provided above whenever the
existence of such salts is possible.
Section 3",2026-04-24T17:19:40.499545+00:00
ACETORPHINE,,Schedule IV (1961),25333-77-1,"3-O-acetyltetrahydro-7α-(1-hydroxy-1-methylbutyl)- 6,14-endo-ethenooripavine (derivative of thebaine)",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 001 25333-77-1 ACETORPHINE 3-O-acetyltetrahydro-7α-(1-hydroxy-1-methylbutyl)-
6,14-endo-ethenooripavine (derivative of thebaine)",2026-04-24T17:19:40.499545+00:00
ACETYL-ALPHA-METHYLFENTANYL,,Schedule IV (1961),101860-00-8,N-[1-(α-methylphenethyl)-4-piperidyl]acetanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 015 101860-00-8 ACETYL-ALPHA-METHYLFENTANYL N-[1-(α-methylphenethyl)-4-piperidyl]acetanilide,2026-04-24T17:19:40.499545+00:00
ACETYLFENTANYL,,Schedule IV (1961),3258-84-2,N-Phenyl-N-[1-(2-phenylethyl)-4- piperidinyl]acetamide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 019 3258-84-2 ACETYLFENTANYL N-Phenyl-N-[1-(2-phenylethyl)-4-
piperidinyl]acetamide",2026-04-24T17:19:40.499545+00:00
ALPHA-METHYLFENTANYL,,Schedule IV (1961),79704-88-4,N-[1-(α-methylphenethyl)-4-piperidyl]propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 016 79704-88-4 ALPHA-METHYLFENTANYL N-[1-(α-methylphenethyl)-4-piperidyl]propionanilide,2026-04-24T17:19:40.499545+00:00
ALPHA-METHYLTHIOFENTANYL,,Schedule IV (1961),103963-66-2,N-[1-[1-methyl-2-(2-thienyl)ethyl]-4- piperidyl]propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 017 103963-66-2 ALPHA-METHYLTHIOFENTANYL N-[1-[1-methyl-2-(2-thienyl)ethyl]-4-
piperidyl]propionanilide",2026-04-24T17:19:40.499545+00:00
BETA-HYDROXYFENTANYL,,Schedule IV (1961),78995-10-5,N-[1-(β-hydroxyphenethyl)-4-piperidyl]propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NB 009 78995-10-5 BETA-HYDROXYFENTANYL N-[1-(β-hydroxyphenethyl)-4-piperidyl]propionanilide,2026-04-24T17:19:40.499545+00:00
BETA-HYDROXY-3-,,Schedule IV (1961),78995-14-9,N-[1-(β-hydroxyphenethyl)-3-methyl-4- METHYLFENTANYL piperidyl]propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NB 010 78995-14-9 BETA-HYDROXY-3- N-[1-(β-hydroxyphenethyl)-3-methyl-4-
METHYLFENTANYL piperidyl]propionanilide",2026-04-24T17:19:40.499545+00:00
CARFENTANIL,,Schedule IV (1961),59708-52-0,Methyl 1-(2-phenylethyl)-4- [phenyl(propanoyl)amino]piperidine-4-carboxylate,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NC 090 59708-52-0 CARFENTANIL Methyl 1-(2-phenylethyl)-4-
[phenyl(propanoyl)amino]piperidine-4-carboxylate",2026-04-24T17:19:40.499545+00:00
DESOMORPHINE,,Schedule IV (1961),427-00-9,dihydrodesoxymorphine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,ND 002 427-00-9 DESOMORPHINE dihydrodesoxymorphine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
ETORPHINE,,Schedule IV (1961),14521-96-1,"tetrahydro-7α-(1-hydroxy-1-methylbutyl)-6,14-endo- ethenooripavine (derivative of thebaine)",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NE 007 14521-96-1 ETORPHINE tetrahydro-7α-(1-hydroxy-1-methylbutyl)-6,14-endo-
ethenooripavine (derivative of thebaine)",2026-04-24T17:19:40.499545+00:00
HEROIN,,Schedule IV (1961),561-27-3,Diacetylmorphine (derivative of morphine),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NH 001 561-27-3 HEROIN Diacetylmorphine (derivative of morphine),2026-04-24T17:19:40.499545+00:00
KETOBEMIDONE,,Schedule IV (1961),469-79-4,4-m-hydroxyphenyl-1-methyl-4-propionylpiperidine,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NK 001 469-79-4 KETOBEMIDONE 4-m-hydroxyphenyl-1-methyl-4-propionylpiperidine,2026-04-24T17:19:40.499545+00:00
3-METHYLFENTANYL,,Schedule IV (1961),42045-86-3,N-(3-methyl-1-phenethyl-4-piperidyl)propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 017 42045-86-3 3-METHYLFENTANYL N-(3-methyl-1-phenethyl-4-piperidyl)propionanilide,2026-04-24T17:19:40.499545+00:00
3-METHYLTHIOFENTANYL,,Schedule IV (1961),86052-04-2,N-[3-methyl-1-[2-(2-thienyl)ethyl]-4- piperidyl]propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NM 024 86052-04-2 3-METHYLTHIOFENTANYL N-[3-methyl-1-[2-(2-thienyl)ethyl]-4-
piperidyl]propionanilide",2026-04-24T17:19:40.499545+00:00
MPPP,,Schedule IV (1961),13147-09-6,1-methyl-4-phenyl-4-piperidinol propionate (ester),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NM 018 13147-09-6 MPPP 1-methyl-4-phenyl-4-piperidinol propionate (ester),2026-04-24T17:19:40.499545+00:00
PARA-FLUOROFENTANYL,,Schedule IV (1961),90736-23-5,4’-fluoro-N-(1-phenethyl-4-piperidyl)propionanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NF 003 90736-23-5 PARA-FLUOROFENTANYL 4’-fluoro-N-(1-phenethyl-4-piperidyl)propionanilide,2026-04-24T17:19:40.499545+00:00
PEPAP,,Schedule IV (1961),64-52-8,1-phenethyl-4-phenyl-4-piperidinol acetate (ester),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NP 026 64-52-8 PEPAP 1-phenethyl-4-phenyl-4-piperidinol acetate (ester),2026-04-24T17:19:40.499545+00:00
