name,dea_code,schedule,narcotic,other_names,source,source_url,raw_text,fetched_at
"5F–ADB; 5F–MDMB–PINACA (Methyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3,3-",7034,I,N,5F-ADB; 5F-MDMB-PINACA dimethylbutanoate) (Positional isomers: 5F-AEB; 5F-EMB-PINACA),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5F–ADB; 5F–MDMB–PINACA (Methyl 2-(1-(5- 7034 I N 5F-ADB; 5F-MDMB-PINACA fluoropentyl)-1H-indazole-3-carboxamido)-3,3- dimethylbutanoate) (Positional isomers: 5F-AEB; 5F-EMB-PINACA)",2026-04-24T17:24:50+00:00
5F–AMB (methyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3-methylbutanoate),7033,I,N,5F-AMB,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,5F–AMB (methyl 2-(1-(5-fluoropentyl)-1H-indazole-3- 7033 I N 5F-AMB carboxamido)-3-methylbutanoate),2026-04-24T17:24:50+00:00
5F–APINACA; 5F–AKB48 (N-(adamantan-1-yl)-1-(5-fluoropentyl)-1H-indazole-3-carboxamide),7049,I,N,5F-APINACA; 5F-AKB48,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,5F–APINACA; 5F–AKB48 (N-(adamantan-1-yl)-1-(5- 7049 I N 5F-APINACA; 5F-AKB48 fluoropentyl)-1H-indazole-3-carboxamide),2026-04-24T17:24:50+00:00
5F-CUMYL-P7AICA (1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1,7085,I,N,"H-pyrrolo[2,3-b]pyridine-3- carboxamide)",DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5F-CUMYL-P7AICA (1-(5-fluoropentyl)-N-(2- 7085 I N phenylpropan-2-yl)-1 H-pyrrolo[2,3-b]pyridine-3- carboxamide)",2026-04-24T17:24:50+00:00
"5F-EDMB-PICA (ethyl 2-[[1-(5-fluorophentyl)indole-3-carbonyl]amino]-3,3-dimethyl-butanoate)",7094,I,N,5F-EDMB-PICA; 5F-EDMB-2201,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5F-EDMB-PICA (ethyl 2-[[1-(5-fluorophentyl)indole-3- 7094 I N 5F-EDMB-PICA; 5F-EDMB-2201 carbonyl]amino]-3,3-dimethyl-butanoate)",2026-04-24T17:24:50+00:00
"5-Fluoro-UR-144 and XLR11 [1-(5-Fluoro-pentyl)1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",7011,I,N,5-Fluoro-UR-144; XLR-11; XLR11,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5-Fluoro-UR-144 and XLR11 [1-(5-Fluoro-pentyl)1H- 7011 I N 5-Fluoro-UR-144; XLR-11; XLR11 indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",2026-04-24T17:24:50+00:00
5F-PB-22 (quinolin-8-yl 1-(5-fluoropentyl)-1H-indole-3-carboxylate),7225,I,N,5-Fluoro-PB-22; 5F-PB-22,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,5F-PB-22 (quinolin-8-yl 1-(5-fluoropentyl)-1H-indole-3- 7225 I N 5-Fluoro-PB-22; 5F-PB-22 carboxylate),2026-04-24T17:24:50+00:00
"5-Methoxy-3,4-methylenedioxyamphetamine",7401,I,N,MMDA,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5-Methoxy-3,4-methylenedioxyamphetamine 7401 I N MMDA",2026-04-24T17:24:50+00:00
"5-Methoxy-N,N-diisopropyltryptamine",7439,I,N,"5-MeO-DIPT (Positional Isomer: 5-Methoxy-N,N- dipropyltryptamine (5-MeO-DPT))",DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5-Methoxy-N,N-diisopropyltryptamine 7439 I N 5-MeO-DIPT (Positional Isomer: 5-Methoxy-N,N- dipropyltryptamine (5-MeO-DPT))",2026-04-24T17:24:50+00:00
"5-Methoxy-N,N-dimethyltryptamine",7431,I,N,"5-MeO-DMT (Positional Isomer: 4-Methoxy-N,N- dimethyltryptamine (4-MeO-DMT, 4-methoxy-DMT))",DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"5-Methoxy-N,N-dimethyltryptamine 7431 I N 5-MeO-DMT (Positional Isomer: 4-Methoxy-N,N- dimethyltryptamine (4-MeO-DMT, 4-methoxy-DMT))",2026-04-24T17:24:50+00:00
