id,regulation,category,chemical_name,cas_number,cn_code,notes,source_url,raw_text,fetched_at
6ac6ce1ef4ae563f,273/2004,1,Ergometrine,60-79-7,2939 61 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Ergometrine | nan | 2939 61 00 | 60-79-7,2026-04-24T17:20:34+00:00
07e50c8d4242fc1f,273/2004,1,Ergotamine,113-15-5,2939 62 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Ergotamine | nan | 2939 62 00 | 113-15-5,2026-04-24T17:20:34+00:00
5d1f4a30a3c0d01d,273/2004,1,Lysergic acid,82-58-6,2939 63 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Lysergic acid | nan | 2939 63 00 | 82-58-6,2026-04-24T17:20:34+00:00
395868efb73a2109,273/2004,1,"(1R,2S)-(-)-chloroephedrine",110925-64-9,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,"(1R,2S)-(-)-chloroephedrine | nan | ►M5 2939 79 90 ◄ | 110925-64-9",2026-04-24T17:20:34+00:00
293eed191f3ecd40,273/2004,1,"(1S,2R)-(+)-chloroephedrine",1384199-95-4,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,"(1S,2R)-(+)-chloroephedrine | nan | ►M5 2939 79 90 ◄ | 1384199-95-4",2026-04-24T17:20:34+00:00
7b97e5b84d1c5416,273/2004,1,"(1S,2S)-(+)-chloropseudoephedrine",73393-61-0,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,"(1S,2S)-(+)-chloropseudoephedrine | nan | ►M5 2939 79 90 ◄ | 73393-61-0",2026-04-24T17:20:34+00:00
40f94436f89eb994,273/2004,1,"(1R,2R)-(-)-chloropseudoephedrine",771434-80-1,2939 79 90,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,"(1R,2R)-(-)-chloropseudoephedrine | nan | ►M5 2939 79 90 ◄ | 771434-80-1",2026-04-24T17:20:34+00:00
0294e1369f514d11,273/2004,2A,Red phosphorus,7723-14-0,2804 70 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Red phosphorus | nan | 2804 70 00 | 7723-14-0,2026-04-24T17:20:34+00:00
8c33a5b75a812f23,273/2004,2A,Acetic anhydride,108-24-7,2915 24 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Acetic anhydride | nan | 2915 24 00 | 108-24-7,2026-04-24T17:20:34+00:00
e2a9f15f2a7a2ca2,273/2004,2B,Phenylacetic acid,103-82-2,2916 34 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Phenylacetic acid | nan | 2916 34 00 | 103-82-2,2026-04-24T17:20:34+00:00
583d9a2f8498dea9,273/2004,2B,Anthranilic acid,118-92-3,2922 43 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Anthranilic acid | nan | ►M5 ►C1 2922 43 00 ◄ ◄ | 118-92-3,2026-04-24T17:20:34+00:00
3ef6692ca40d4fad,273/2004,2B,Piperidine,110-89-4,2933 32 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Piperidine | nan | 2933 32 00 | 110-89-4,2026-04-24T17:20:34+00:00
f9b4b764c1c117e3,273/2004,2B,Potassium permanganate,7722-64-7,2841 61 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Potassium permanganate | nan | 2841 61 00 | 7722-64-7,2026-04-24T17:20:34+00:00
081ec8b460ef57f9,273/2004,3,Hydrochloric acid,7647-01-0,2806 10 00,Hydrogen chloride,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Hydrochloric acid | Hydrogen chloride | 2806 10 00 | 7647-01-0,2026-04-24T17:20:34+00:00
040f77a498c174bf,273/2004,3,Sulphuric acid,7664-93-9,2807 00 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Sulphuric acid | nan | ►M5 2807 00 00 ◄ | 7664-93-9,2026-04-24T17:20:34+00:00
dc56709ea7158303,273/2004,3,Toluene,108-88-3,2902 30 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Toluene | nan | 2902 30 00 | 108-88-3,2026-04-24T17:20:34+00:00
68fbd49ef1af2f31,273/2004,3,Ethyl ether,60-29-7,2909 11 00,Diethyl ether,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Ethyl ether | Diethyl ether | 2909 11 00 | 60-29-7,2026-04-24T17:20:34+00:00
01b27cb0809f7583,273/2004,3,Acetone,67-64-1,2914 11 00,,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Acetone | nan | 2914 11 00 | 67-64-1,2026-04-24T17:20:34+00:00
85136c82cf3aece5,273/2004,3,Methylethylketone,78-93-3,2914 12 00,Butanone,https://eur-lex.europa.eu/eli/reg/2004/273/2022-01-01,Methylethylketone | Butanone | 2914 12 00 | 78-93-3,2026-04-24T17:20:34+00:00
b9ca9ea08b745b6d,111/2005,1,1-Phenyl-2-propanone,103-79-7,2914 31 00,Phenylacetone,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,1-Phenyl-2-propanone | Phenylacetone | 2914 31 00 | 103-79-7,2026-04-24T17:20:34+00:00
81cf07b010891784,111/2005,1,Methyl alpha-phenylacetoacetate (MAPA),16648-44-5,2918 30 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Methyl alpha-phenylacetoacetate (MAPA) | nan | 2918 30 00 | 16648-44-5,2026-04-24T17:20:34+00:00
b866cf8f86c4d7f4,111/2005,1,Methyl 2-methyl-3-phenyloxirane-2-carboxylate (BMK methyl glycidate),80532-66-7,2918 99 90,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Methyl 2-methyl-3-phenyloxirane-2-carboxylate (BMK methyl glycidate) | nan | 2918 99 90 | 80532-66-7,2026-04-24T17:20:34+00:00
3e34d42c69feaaca,111/2005,1,2-methyl-3-phenyloxirane-2-carboxylic acid (BMK glycidic acid),25547-51-7,2918 99 90,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,2-methyl-3-phenyloxirane-2-carboxylic acid (BMK glycidic acid) | nan | 2918 99 90 | 25547-51-7,2026-04-24T17:20:34+00:00
673211377ba95b92,111/2005,1,N-acetylanthranilic acid,89-52-1,2924 23 00,2-Acetamidobenzoic acid,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,N-acetylanthranilic acid | 2-Acetamidobenzoic acid | 2924 23 00 | 89-52-1,2026-04-24T17:20:34+00:00
9f153db5872c2bda,111/2005,1,Alpha-phenylacetoacetamide (APAA),4433-77-6,2924 29 70,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Alpha-phenylacetoacetamide (APAA) | nan | 2924 29 70 | 4433-77-6,2026-04-24T17:20:34+00:00
2f7723e46fde1e19,111/2005,1,Alpha-phenylacetoacetonitrile (APAAN),4468-48-8,2926 40 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Alpha-phenylacetoacetonitrile (APAAN) | nan | 2926 40 00 | 4468-48-8,2026-04-24T17:20:34+00:00
eb2e644d276b246e,111/2005,1,Isosafrol (cis + trans),120-58-1,2932 91 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Isosafrol (cis + trans) | nan | 2932 91 00 | 120-58-1,2026-04-24T17:20:34+00:00
68a0b452ae925c6f,111/2005,1,"3,4-Methylenedioxyphenylpropan-2-one",4676-39-5,2932 92 00,"1-(1,3-Benzodioxol-5-yl)propan-2-one",https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"3,4-Methylenedioxyphenylpropan-2-one | 1-(1,3-Benzodioxol-5-yl)propan-2-one | 2932 92 00 | 4676-39-5",2026-04-24T17:20:34+00:00
e14beed3b05c1b20,111/2005,1,Piperonal,120-57-0,2932 93 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Piperonal | nan | 2932 93 00 | 120-57-0,2026-04-24T17:20:34+00:00
d48e04ef300ea6e4,111/2005,1,Safrole,94-59-7,2932 94 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Safrole | nan | 2932 94 00 | 94-59-7,2026-04-24T17:20:34+00:00
546a192ebffc511d,111/2005,1,"Methyl 3-(1,3-benzodioxol-5-yl)-2-methyloxirane-2-carboxylate (PMK methyl glycidate)",13605-48-6,2932 99 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"Methyl 3-(1,3-benzodioxol-5-yl)-2-methyloxirane-2-carboxylate (PMK methyl glycidate) | nan | 2932 99 00 | 13605-48-6",2026-04-24T17:20:34+00:00
a9bfc9d7d04ef71c,111/2005,1,"3-(1,3-benzodioxol-5-yl)-2-methyloxirane-2-carboxylic acid (PMK glycidic acid)",2167189-50-4,2932 99 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,"3-(1,3-benzodioxol-5-yl)-2-methyloxirane-2-carboxylic acid (PMK glycidic acid) | nan | 2932 99 00 | 2167189-50-4",2026-04-24T17:20:34+00:00
e318bb62ffa36b63,111/2005,1,4-anilino-N-phenethylpiperidine (ANPP),21409-26-7,2933 39 99,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,4-anilino-N-phenethylpiperidine (ANPP) | nan | 2933 39 99 | 21409-26-7,2026-04-24T17:20:34+00:00
da9b9fe0970de4b7,111/2005,1,N-phenethyl-4-piperidone (NPP),39742-60-4,2933 39 99,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,N-phenethyl-4-piperidone (NPP) | nan | 2933 39 99 | 39742-60-4,2026-04-24T17:20:34+00:00
ef0114c8e61721dd,111/2005,1,Ephedrine,299-42-3,2939 41 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Ephedrine | nan | 2939 41 00 | 299-42-3,2026-04-24T17:20:34+00:00
9b4f65fdf988b9da,111/2005,1,Pseudoephedrine,90-82-4,2939 42 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Pseudoephedrine | nan | 2939 42 00 | 90-82-4,2026-04-24T17:20:34+00:00
f57515ecded9ab90,111/2005,1,Norephedrine,14838-15-4,2939 44 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Norephedrine | nan | ►M1 2939 44 00 ◄ | 14838-15-4,2026-04-24T17:20:34+00:00
2e3ed433be63f9d4,111/2005,1,Ergometrine,60-79-7,2939 61 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Ergometrine | nan | 2939 61 00 | 60-79-7,2026-04-24T17:20:34+00:00
e766f39e9971eaf9,111/2005,1,Ergotamine,113-15-5,2939 62 00,,https://eur-lex.europa.eu/eli/reg/2005/111/2022-01-01,Ergotamine | nan | 2939 62 00 | 113-15-5,2026-04-24T17:20:34+00:00
